source,isbn,title,authors,trust,confidence
indoo.com,0201853949,art of computer programming volume 4 fascicle 3 the generating all combinations and partitions,knuth donald e,0.8993434329018792,0.9997938452745304
a1books,0201853949,the art of computer programming volume 4 fascicle 3 generating all combinations and partitions,knuth donald e,0.9107805611839029,0.9997938452745304
textbooksnow,0201853949,art of computer programming,knuth,0.7504402992037211,0.7076574929714985
paperbackworld.de,0201853949,the art of computer programming vol 4 fascicle 3,donald ervin knuth,0.9267988211560819,0.9721064185615802
caiman,0201853949,art of computer programming vo,knuth donald ervin,0.8996170885289858,0.9933737720321654
movies with a smile,0201853949,the art of computer programming volume 4 fascicle 3 generating all combinations and partitions,knuth donald ervin,0.9487572044461003,0.9933737720321654
marando.de versandbuchhandlung,0201853949,generating all combinations and partitions,donald e knuth,0.9753370502912162,0.9971937845398823
aha-buch,0201853949,generating all combinations and partitions,donald e knuth,0.9528824512486692,0.9971937845398823
versandantiquariat robert a. mueller,0201853949,the art of computer programming vol 4 fascicle 3 generating all combinations and partitions,knuth donald ervin,0.9570752949543444,0.9933737720321654
morgenstundt buch & kunst,0201853949,art of computer programming the generating all combinations and partitions,knuth donald e,0.9670759361031848,0.9997938452745304
alphacraze.com,0201853949,the art of computer programming volume 4 fascicle 3 generating all combinations and partitions art of computer programming,knuth donald e,0.9831052612305028,0.9997938452745304
odeon books,0201853949,the art of computer programming volume 4 fascicle 3 generating all combinations and partitions art of computer programming,donald e knuth,0.9671364973538183,0.9971937845398823
powell's  books,0201853949,art of computer prog fascicle 3 volume 4,knuth donald,0.9257430697715145,0.9948905657882141
quartermelon,0201853949,art of computer programming fascicle 3 generating all combinations and partitions,knuth donald e,0.9282979715073033,0.9997938452745304
browns books,0201853949,the the,knuth donald e,0.9373390621133753,0.9997938452745304
books down under,0201853949,art of computer programming volume 4 fascicle 3 the generating all combinations and partitions,donald e knuth john fuller,0.921980660671882,0.9359239069827587
books down under,0201853949,the art of computer programming volume 4 fascicle 3 generating all combinations and partitions,knuth donald e,0.921980660671882,0.9997938452745304
swoop,0201853949,art of computer programming,knuth donald e,0.9622531127170885,0.9997938452745304
thebookcom,0201853949,the art of computer programming fascicle 3 generating all combinations and partitions v 4,knuth donald e,0.9386629220301413,0.9997938452745304
thesaintbookstore,0201853949,the art of computer programming volume 4 fascicle 3 generating all combinations and partitions art of computer programming,knuth donald e,0.976798343928297,0.9997938452745304
mellon's books,0201853949,art of computer programming,knuth donald e,0.9485798521716226,0.9997938452745304
blackwell online,0201853949,the art of computer programming,donald e knuth,0.9459104696460843,0.9971937845398823
stratford books,0201853949,art of computer programming fascicle 3 generating all combinations and partitions,knuth donald e,0.9388133668244624,0.9997938452745304
the book depository,0201853949,art of computer programming v 4,donald e knuth,0.871763517676337,0.9971937845398823
englishbookservice.com gti gmbh,0201853949,art of computer programming the generating all combinations and partitions,knuth donald e,0.9683214339581027,0.9997938452745304
revaluation books,0201853949,the art of computer programming fascicle 3 generating all combinations and partitions,knuth donald e,0.9237457492069083,0.9997938452745304
papamedia.com,0201853949,the art of computer programming volume 4 fascicle 3 generating all combinations and partitions art of computer programming,donald e knuth,0.8733613942170575,0.9971937845398823
free u.s. air shipping @ thebookcompany,0201853949,the art of computer programming fascicle 3 generating all combinations and partitions v 4,knuth donald e,0.9517191609826555,0.9997938452745304
bobs books,0201853949,the art of computer programming volume 4 fascicle 3 generating all combinations and partitions,knuth donald e,0.9211670314157427,0.9997938452745304
revaluation books,0201853949,art of computer programming volume 4 fascicle 3 thegenerating allcombinations and partitions,knuth donald e,0.9237457492069083,0.9997938452745304
bobs books,0201853949,art of computer programming volume 4 fascicle 3 the generating all combinations and partitions,donald e knuth john fuller,0.9211670314157427,0.9359239069827587
gunars store,0201853949,art of computer programming volume 4 fascicle 3 generating all combinatio,knuth donald,0.8813573351002646,0.9948905657882141
gunter koppon,0201853949,art of computer programming volume 4 fascicle 3 generating all combinatio,knuth donald,0.8913932404425284,0.9948905657882141
revaluation books,0201853949,the art of computer programming volume 4 fascicle 3 generating all combinations and partitions,donald e knuth,0.9237457492069083,0.9971937845398823
bobs books,0201853949,art of computer programming fascicle 3,knuth donald e,0.9211670314157427,0.9997938452745304
bobs books,0201853949,the art of computer programming volume 4 fascicle 3 generating all,knuth donald,0.9211670314157427,0.9948905657882141
limelight bookshop,0201853949,art of computer programming generating all combinations and partitions vol 3,knuth donald ervin,0.8900841152974155,0.9933737720321654
mildredsbooks,0201853949,the art of computer programming volume 4 fascicle 3 generating all combinations and partitions art of computer programming,donald e knuth,0.9721144026147676,0.9971937845398823
indoo.com,0321335708,the art of computer programming volume 4 fascicle 4 generating all treeshistory of combinatorial generation,knuth donald e,0.8993434329018792,0.9990867818590907
best bargain books,0321335708,the art of computer programming volume 4 fascicle 4 generating all treeshistory of combinatorial generation art of computer programming,donald e knuth,0.962004199724584,0.9955276614282432
textbookxdotcom,0321335708,art of computer programming fascicle 4 the generating all trees history of combinatorial generation,knuth donald e,0.8293554590601047,0.9990867818590907
a1books,0321335708,the art of computer programming volume 4 fascicle 4 generating all treeshistory of combinatorial generation,knuth donald e,0.9107805611839029,0.9990867818590907
caiman,0321335708,art of computer programming v0,knuth donald ervin,0.8996170885289858,0.9785292142020302
movies with a smile,0321335708,the art of computer programming generating all treeshistory of combinatorial generation volume 4,knuth donald ervin,0.9487572044461003,0.9785292142020302
powell's  books,0321335708,art of computer prog volume 4 fascicle 4,knuth donald e,0.9257430697715145,0.9990867818590907
opoe-abe books,0321335708,art of computer programmingvol4,knuth,0.7348790216722247,0.7310099124839875
paperbackworld.de,0321335708,the art of computer programming 4 fascicle 4,donald knuth,0.9267988211560819,0.9885347349210498
players quest,0321335708,the art of computer programming volume 4 fascicle 4 generating all treeshistory of combinatorial generation art of computer programming,donald e knuth,0.9606144401825902,0.9955276614282432
books down under,0321335708,the art of computer programming volume 4 fascicle 4 generating all treeshistory of combinatorial generation,donald e knuth,0.921980660671882,0.9955276614282432
books down under,0321335708,the art of computer programming fascicle 4 generating all trees history of combinatorial generation,knuth donald,0.921980660671882,0.9908529294496764
marando.de versandbuchhandlung,0321335708,generating all trees,donald e knuth,0.9753370502912162,0.9955276614282432
aha-buch,0321335708,generating all trees,donald e knuth,0.9528824512486692,0.9955276614282432
thesaintbookstore,0321335708,the art of computer programming volume 4 fascicle 4 generating all treeshistory of combinatorial generation art of computer programming,knuth donald e,0.976798343928297,0.9990867818590907
versandantiquariat robert a. mueller,0321335708,the art of computer programming 4 fascicle 4 generating all trees history of combinatorial generation,knuth donald,0.9570752949543444,0.9908529294496764
morgenstundt buch & kunst,0321335708,art of computer programming fascicle 4 the generating all trees history of combinatorial generation,knuth donald e,0.9670759361031848,0.9990867818590907
mellon's books,0321335708,art of computer programming fascicle 4,knuth donald,0.9485798521716226,0.9908529294496764
thebookcom,0321335708,the art of computer programming fascicle 4 generating all trees history of combinatorial generation,knuth donald e,0.9386629220301413,0.9990867818590907
blackwell online,0321335708,the art of computer programming fascicle 4,donald e knuth,0.9459104696460843,0.9955276614282432
the book depository,0321335708,art of computer programming fascicle 4,donald knuth,0.871763517676337,0.9885347349210498
revaluation books,0321335708,the art of computer programming fascicle 4 generating all trees history of combinatorial generation,knuth donald e,0.9237457492069083,0.9990867818590907
englishbookservice.com gti gmbh,0321335708,art of computer programming fascicle 4 the generating all trees history of combinatorial generation,knuth donald e,0.9683214339581027,0.9990867818590907
revaluation books,0321335708,the art of computer programming volume 4 fascicle 4generating all treeshistory of combinatorial generation,knuth donald e,0.9237457492069083,0.9990867818590907
free u.s. air shipping @ thebookcompany,0321335708,the art of computer programming fascicle 4 generating all trees history of combinatorial generation,knuth donald e,0.9517191609826555,0.9990867818590907
gunter koppon,0321335708,art of computer programming fascicle 4 generating all trees history of com,knuth donald e,0.8913932404425284,0.9990867818590907
gunars store,0321335708,art of computer programming fascicle 4 generating all trees history of com,knuth donald e,0.8813573351002646,0.9990867818590907
bobs books,0321335708,the art of computer programming volume 4 fascicle 4 generating all treeshistory of combinatorial generation,donald e knuth,0.9211670314157427,0.9955276614282432
bobs books,0321335708,the art of computer programming fascicle 4 generating all trees history of combinatorial generation,knuth donald,0.9211670314157427,0.9908529294496764
bobs books,0321335708,art of computer programming fascicle 4,donald knuth,0.9211670314157427,0.9885347349210498
bobs books,0321335708,the art of computer programming fascicle 4 generating all trees hist,knuth donald e,0.9211670314157427,0.9990867818590907
mildredsbooks,0321335708,the art of computer programming volume 4 fascicle 4 generating all treeshistory of combinatorial generation art of computer programming,donald e knuth,0.9721144026147676,0.9955276614282432
ecampus.com,0201853922,the art of computer programming fascicle 1 mmix a risc computer for the new millennium,knuth donald ervin a,0.9361252860914566,0.9482488532925387
powell's  books,0201853922,art of computer prog fascicle 1 volume 1 mmi,knuth donald e,0.9257430697715145,0.996064107985198
indoo.com,0201853922,art of computer programming volume 1 fascicle 1 the mmix a risc computer for the new millennium,knuth donald e,0.8993434329018792,0.996064107985198
a1books,0201853922,the art of computer programming volume 1 fascicle 1 mmix a risc computer for the new millennium,knuth donald e,0.9107805611839029,0.996064107985198
paperbackworld.de,0201853922,the art of computer programming vol1 fascicle 1,donald ervin knuth,0.9267988211560819,0.9435041964015424
thesaintbookstore,0201853922,the art of computer programming volume 1 fascicle 1 mmix a risc computer for the new millennium art of computer programming,knuth donald e,0.976798343928297,0.996064107985198
caiman,0201853922,art of computer programminv01,knuth donald ervin,0.8996170885289858,0.9683714635938029
morgenstundt buch & kunst,0201853922,art of computer programming the mmix a risc computer for the new millennium,knuth donald e,0.9670759361031848,0.996064107985198
versandantiquariat robert a. mueller,0201853922,the art of computer programming vol1 fascicle 1 mmix a risc computer for the new millennium,knuth donald ervin,0.9570752949543444,0.9683714635938029
marando.de versandbuchhandlung,0201853922,mmix a risc computer for the new millenium,donald e knuth,0.9753370502912162,0.9936896388779728
aha-buch,0201853922,mmix a risc computer for the new millenium,donald e knuth,0.9528824512486692,0.9936896388779728
odeon books,0201853922,the art of computer programming volume 1 fascicle 1 mmix a risc computer for the new millennium art of computer programming,donald e knuth,0.9671364973538183,0.9936896388779728
books down under,0201853922,art of computer programming volume 1 fascicle 1 the mmix a risc computer for the new millennium,donald e knuth john fuller,0.921980660671882,0.9053457159773138
books down under,0201853922,the art of computer programming fascicle 1 mmix a risc computer for the new millennium,knuth donald e,0.921980660671882,0.996064107985198
the book depository,0201853922,art of computer programming v 1,donald e knuth,0.871763517676337,0.9936896388779728
revaluation books,0201853922,art of computer programming volume 1 fascicle 1 themmix a risc computer for the new millennium,knuth donald e,0.9237457492069083,0.996064107985198
revaluation books,0201853922,the art of computer programming volume 1 fascicle 1 mmix a risc computer for the new millennium,donald e knuth,0.9237457492069083,0.9936896388779728
papamedia.com,0201853922,the art of computer programming volume 1 fascicle 1 mmix a risc computer for the new millennium art of computer programming,donald e knuth,0.8733613942170575,0.9936896388779728
bobs books,0201853922,art of computer programming volume 1 fascicle 1 the mmix a risc computer for the new millennium,donald e knuth john fuller,0.9211670314157427,0.9053457159773138
ashleyjohnson,0201853922,the art of computer programming volume 1 fascicle 1 mmix a risc computer for the new millennium art of computer programming,knuth donald e,0.947929862047429,0.996064107985198
bobs books,0201853922,the art of computer programming fascicle 1 mmix a risc computer for the new millennium,knuth donald e,0.9211670314157427,0.996064107985198
gunars store,0201853922,art of computer programming fascicle 1 mmix a risc computer for the new mi,knuth donald,0.8813573351002646,0.9758162819136292
gunter koppon,0201853922,art of computer programming fascicle 1 mmix a risc computer for the new mi,knuth donald,0.8913932404425284,0.9758162819136292
bobs books,0201853922,art of computer programming v 1,donald e knuth,0.9211670314157427,0.9936896388779728
bobs books,0201853922,the art of computer programming fascicle 1 mmix a risc computer for,knuth donald,0.9211670314157427,0.9758162819136292
