source,isbn,title,authors,trust,confidence
indoo.com,0201853949,art of computer programming volume 4 fascicle 3 the generating all combinations and partitions,knuth donald e,0.8993434329018792,0.9997938452745304
indoo.com,0321335708,the art of computer programming volume 4 fascicle 4 generating all treeshistory of combinatorial generation,knuth donald e,0.8993434329018792,0.9990867818590907
powell's  books,0201853922,art of computer prog fascicle 1 volume 1 mmi,knuth donald e,0.9257430697715145,0.996064107985198
indoo.com,0201853930,art of computer programming volume 4 fascicle 2 the generating all tuples and permutations,knuth donald e,0.8993434329018792,0.9998710265638301
happybook,0201361213,algorithms in java graph algorithms,sedgewick robert,0.9805213064180616,0.9765820282819485
ben artoge bookstore,0201775786,algorithms in c parts 14fundamentalsdata structuressortingsearchingthird edition,robert sedgewick,0.9772669484290841,0.8533850512452352
the e,0201361205,algorithms in java parts 1 4 fundamentals data structures sorting searching,sedgewick robert,0.9817995946949345,0.9828140707248495
indoo.com,0201756080,algorithms in c parts 15 bundle fundamentals data structures sorting searching and graph algorithms,sedgewick robert,0.8993434329018792,0.9137295282582968
books2anywhere.com,020172684X,algorithms in c,sedgewick robert,0.9588284623552487,0.9882523378575918
powell's  books,0201896842,art of computer prog 3ed volume 2,knuth donald e,0.9257430697715145,0.9998045859727299
indoo.com,0201896850,art of computer programming volume 3 sorting and searching,knuth donald e,0.8993434329018792,0.9988309288909478
aa42.com,0201896834,art of computer programming the,knuth donald e,0.9996512625630946,0.9996512625630946
international books,020140009X,an introduction to the analysis of algorithms paperback,robert sedgewick philippe flajolet,0.9687176907922393,0.9131946659102452
a2zbooks,020163208X,practical algorithms for programmers,binstock andrew rex john,0.9127284799067507,0.9780526816187628
the e,0201558025,concrete mathematics a foundation for computer science,graham ronald l,0.9817995946949345,0.9940937782992786
book gallery // mike riley,0201548569,an introduction to parallel algorithms,jaja joseph,0.8213317505137364,0.8213317505137364
the e,0321204662,artificial intelligence a guide to intelligent systems,negnevitsky michael,0.9817995946949345,0.9999753603153354
booksoul,0321263189,artificial intelligence structures and strategies for complex problem solving,luger george f,0.9917725361612578,0.9999228600825589
economy books,0201648660,artificial intelligence structures and strategies for complex problem solving,luger george f,0.9723914239747516,0.98278555173935
bookbyte / norwest textbooks,0805325476,artificial intelligence theory and practice by dean,dean thomas allen james aloimonos yiannis,0.9280766480694883,0.8838872212163114
technischer overseas pvt. ltd.,0201533774,artificial intelligence 3e,winston,0.7558997565380648,0.9862913735352533
textbookxdotcom,0201539217,building neural networks,david m skapura,0.8293554590601047,0.7918686715125474
fellowshipbooks.net,0201157675,genetic algorithms in search optimization and machine learning,goldberg david e,0.9886896452247317,0.9998144661249748
versandantiquariat robert a. mueller,0321486811,compilers principles techniques and tools,aho alfred v lam monica s sethi ravi ullman jeffrey d,0.9570752949543444,0.6563503530938123
textbookxdotcom,0321428900,compilers principles techniques and tools,aho alfred v sethi ravi etc,0.8293554590601047,0.7866073223649215
indoo.com,1576761053,modern compiler design,galles david,0.8993434329018792,0.7028279271758288
betterworld.com,0805327304,highperformance compilers for parallel computing,michael wolfe,0.9316930926150601,0.9189447604557608
cobain llc,0805321667,crafting a compiler with c,charles fischer richard leblanc,0.9553688685585955,0.9747854039203321
economy books,0201100886,compilers principles techniques and tools,aho alfred v ullman jeffrey d sethi ravi,0.9723914239747516,0.9939130344886362
economy books,0201612534,computer systems organization architecture,carpinelli john d,0.9723914239747516,0.9441185460299155
books down under,0321112296,software systems architecture viewpointoriented system development,rozanski nick woods eoin,0.921980660671882,0.9947853715847516
a1books,0201325713,applied software architecture,hofmeister christine nord robert soni dilip,0.9107805611839029,0.9873563466356274
5559store,0321321375,interactive computer graphics a topdown approach using opengl,angel edward,0.9740568834017878,0.9954959432748673
indoo.com,0321237625,opengl a primer,angel edward,0.8993434329018792,0.988105572630418
bingo books,0201398559,3d computer graphics 3rd ed includes cdrom,watt alan h,0.9804223584911552,0.995991102182382
balkanika online,0201309440,directxr rdx rsx and mmxtm technology a jumpstart guide to high performance apis,coelho rohan hawash maher,0.9003799674157233,0.8561206213824644
beagle books,0201407094,opengl programming for windows 95 and windows nt opengl,fosner ron,0.9717705654446077,0.9878942945471818
economy books,0201848406,computer graphics principles and practice,foley james d van dam andries feiner steven k hughes john f,0.9723914239747516,0.9923724974305045
indoo.com,0201483599,opengl programming for the x window system,kilgard mark j,0.8993434329018792,0.9866874632661742
the e,0201609215,introduction to computer graphics,foley james d van dam andries feiner steven k,0.9817995946949345,0.9635431663677019
books2anywhere.com,0321466756,why software sucks,platt david s,0.9588284623552487,0.9991495810204186
ecampus.com,0321321359,web usability a usercentered design approach,lazar jonathan,0.9361252860914566,0.9997102982036402
collegebooksdirect.com,0321116291,designing interactive systems people activities contexts technologies,benyon david turner susan turner phil,0.9358603987009935,0.9638859318774835
brandnewtextbooks,0321197860,designing the user interface strategies for effective humancomputer interaction,shneiderman ben plaisant catherine,0.9617814597868695,0.9922318537551058
sunmark store,0321181433,user interface design a software engineering perspective,lauesen soren,0.8836033429250405,0.9996939911524639
morgana inc,0201758679,3d user interfaces theory and practice,bowman doug a kruijff ernst laviola joseph j poupyrev ivan,0.8470054353577515,0.9905421680308804
mandala books,0201704471,humancomputer interaction in the new millennium,carroll john m,0.9682869196557854,0.950314440717688
gallowglass books,0201379376,the humane interface new directions for designing interactive systems,raskin jef,0.9999597248983686,0.9999597248983686
"e-book traders, inc.",0201483548,adapting pcs for disabilities,joseph j lazzaro,0.9319737527681893,0.9833209127264545
"gail p. kennon, book-comber",0201550601,computers as theatre,laurel brenda,0.999499391585743,0.999499391585743
swan trading company,0201608421,tog on interface,tognazzini bruce,0.9856609638239323,0.9856609638239323
beagle books,0201517973,the art of humancomputer interface design,laurel brenda,0.9717705654446077,0.9917186555699102
the e,0321399420,databases types and the relational model,date cj darwen hugh,0.9817995946949345,0.9442647750813273
5559store,0321369572,fundamentals of database systems,navathe shamkant b elmasri ramez,0.9740568834017878,0.9526178235287083
g.t.s.,0321268458,database systems an application oriented approach compete version plus database place student access kit 2nd edition,michael kifer arthur bernstein philip m lewis,0.9489165630159061,0.8194637506667017
flybookstore,0321294017,database systems a practical approach to design implementation and management,connolly thomas m begg carolyn e,0.9695264955945525,0.8851625603209354
back alley books,0321228383,database systems an applicationoriented approach introductory version 2nd edition,kifer michael bernstein arthur lewis philip m,0.9291706928291283,0.9400310589492954
revaluation books,0321206746,fundamentals of database systemsoracle 9i programming,elmasri ramez navathe shamkant b sunderraman rajshekhar,0.9237457492069083,0.6901085681837604
enjoystudy,0321197844,an introduction to database systems eighth edition,date cj,0.9766759766932226,0.987597127703791
great_texts,0321194985,oracle 9i programming a primer,sunderraman rajshekhar,0.9782137256817213,0.999419249179385
collegebooksdirect.com,0321185560,principles of database systems with internet and java applications,riccardi greg,0.9358603987009935,0.9841208844834884
ecampus.com,0201612941,the database relational model a retrospective review and analysis a historical account and assessment of e f codds contribution to the field of database technology,date cj,0.9361252860914566,0.6692957729833617
a1books,0321243625,hitchhikerandaposs guide to visual studio and sql server best practice architectures and examples,vaughn william r blackburn peter,0.9107805611839029,0.9985805821012698
ecampus.com,0321245458,handson microsoft access a practical guide to improving your access skills,schneider bob,0.9361252860914566,0.9999842015631486
bookmantra.com,0201715848,practical oracle 8 building efficient databases,lewis jonathan,0.8276050620873543,0.9829009963121942
d & a worldwide textbook service,0321321367,data mining,kumar vipin steinbach michael tan pangning,0.9881872877029164,0.9765423697505182
aaabooks4u,0321290933,designing effective database systems,riordan rebecca m,0.9221411694138749,0.9999243058836577
the e,0201741288,data mining a tutorialbased primer,roiger richard j geatz michael,0.9817995946949345,0.9790591169453776
caiman,0201773635,learning sql,earp richard,0.8996170885289858,0.9783801044956816
ecampus.com,0321293533,refactoring databases evolutionary database design,ambler scott sadalage pramodkumar,0.9361252860914566,0.9992839620252972
indoo.com,0321205618,seeing data designing user interfaces for database systems usingnet,riordan rebecca m,0.8993434329018792,0.9974935211405891
"heather jo frey, bookseller",0672323435,database access with visual basic net 3rd edition paperback by jeffrey p,jeffrey p mcmanus jackie goldstein,0.8977027532661092,0.9766561586254039
indoo.com,0201752840,database design for mere mortalsr a handson guide to relational database design,hernandez michael j,0.8993434329018792,0.9990744577426793
odeon books,0321119045,learning sql a stepbystep guide using access,sikha bagui richard earp,0.9671364973538183,0.8294037482463583
50000books.com,0201752948,oracle sql and plsql handbook a guide for data administrators developers and business analysts,palinski john adolph,0.9825136365884515,0.9825136365884515
indoo.com,0201741296,database administration the complete guide to practices and procedures,mullins craig s,0.8993434329018792,0.9924942935532358
bookmantra.com,0201713063,data resource quality turning bad habits into good practices addisonwesley information technology series,michael h brackett,0.8276050620873543,0.6171401279800438
bookmantra.com,0201485559,practical issues in database management a reference for the thinking practitioner,pascal fabian,0.8276050620873543,0.997493757459336
annex books inc,0321397967,inside sql server 2005 tools,raheem michael sonkin dima dhers thierry lemonds kami,0.9808030627401939,0.9897997564336629
indoo.com,0321397975,administrators guide to sql server 2005,woody buck,0.8993434329018792,0.9996383190031012
a1books,0321356985,practical business intelligence with sql server 2005,hancock john c toren roger,0.9107805611839029,0.9991839538376915
a1books,0321447743,sql server 2005 practical troubleshooting the database engine,henderson ken,0.9107805611839029,0.9983789866945725
a1books,0321382188,a developerandaposs guide to sql server 2005,beauchemin bob sullivan dan,0.9107805611839029,0.9998653899887529
book baron anaheim,0321349792,sql server 2005 distilled,brown eric l,0.8392681005753418,0.9996664064862916
indoo.com,0321287509,gurus guide to sql server boxed set the,henderson ken,0.8993434329018792,0.9895974980256407
booklibrary,0321268288,hitchhikers guide to sql server reporting services 2000,blackburn peter vaughn william r,0.9473515087993434,0.9998776093853067
a1books,0321180593,a first look at sql server 2005 for developers,beauchemin bob berglund niels sullivan dan,0.9107805611839029,0.99858986215902
ecampus.com,0201700476,the gurus guide to sql server architecture and internals,henderson ken,0.9361252860914566,0.9999952690452717
ecampus.com,0201742039,essential sql server 2000 an administration handbook,woody buck,0.9361252860914566,0.9916545354987356
ecampus.com,0201700468,the gurus guide to sql server stored procedures xml and html,henderson ken,0.9361252860914566,0.9998907382803031
best bargain books,0201657961,xml and sql developing web applications,daniel appelquist,0.962004199724584,0.9662714207391208
torontodirect,0201703092,practical sql handbook the using sql variants with cd,bowman judith s emerson sandra l darnovsky marcy,0.9984480563157926,0.9984480563157926
indoo.com,0201615762,gurus guide to transactsql the,henderson ken,0.8993434329018792,0.9999344339858485
ecampus.com,0201596180,an introduction to sql mastering the relational database language,lans rick f van der,0.9361252860914566,0.9560165826686993
a1books,0201433362,sql queries for mere mortalsr a handson guide to data manipulation in sql,hernandez michael j viescas john l,0.9107805611839029,0.9996839117582393
paperbackworld.de,1576760820,implementing databases in oracle 9i,day slyke van john day,0.9267988211560819,0.7902458083878475
collegebooksdirect.com,0321305965,introduction to sql mastering the relational database language,lans rick fvan der,0.9358603987009935,0.9990908893646508
bunches of books,0672321467,oracle performance tuning,edward whalen mitchell schroeter,0.9424276114238477,0.9367863957075216
indoo.com,0201325748,scaling oracle8itm building highly scalable oltp system architectures,morle james,0.8993434329018792,0.9495817542206727
"noram international partners, llc",0201634457,the oracler designer2000 handbook,carrie anderson david wendelken,0.9393663150155996,0.8824317098512328
bookbyte / norwest textbooks,032143675X,web development and design foundations with xhtml by felkemorris 3rd edition,felkemorris terry,0.9280766480694883,0.9969543858566314
morgenstundt buch & kunst,0321304292,internet effectively a beginners guide to the world wide web,scollard lafayette scollard sharon adams tyrone,0.9670759361031848,0.9784780348919516
indoo.com,1576761428,art theory for web design,golbeck jennifer,0.8993434329018792,0.974484973304256
"borgasorus books, inc",1576761150,web developer foundations using xhtml 2nd edition,felkemorris terry,0.8731564690290464,0.9881440541623289
bookbyte / norwest textbooks,0321129474,web 101 making the net work for you by lehnert 2nd edition,lehnert wendy g,0.9280766480694883,0.9875110939623215
frugal media corporation,0201737345,light on the web essentials to making the net work for you,wendy g lehnert,0.965712503197387,0.94797611325236
urbano libros,0201357526,foundations of multithreaded parallel and distributed programming,andrews gregory r,0.9857803862406318,0.9755936737370339
orbidoo.de,0131013769,parallel and distributed programming using c,cameron hughes tracy hughes,0.9619132936147781,0.9474272904666668
d & a worldwide textbook service,0321303326,programming the world wide web,sebesta robert w,0.9881872877029164,0.9944913861435154
a1books,0201750767,practical web technologies,yuen pk lau vincent,0.9107805611839029,0.6377662504682627
bookholders,1576760286,html for www developers,john avila,0.9463406821173866,0.9703520201594511
indoo.com,1576760189,quickstart to javascript,lin forest,0.8993434329018792,0.9704622213502281
bookbyte / norwest textbooks,1576760243,short course in html by lin,lin forest,0.9280766480694883,0.9531130541991435
